Player,First,Last,Active,GP,GS,W,L,TOL,GA,SA,SV,SV_PCT,GAA,SO,PIM,MIN
Hank Bassen,1954,1968,9,156,,46,66,31,434,,,,2.97,5,38,8759
Andre Binette,1954,1955,1,1,,1,0,0,4,,,,4,0,0,60
Claude Evans,1954,1958,2,5,,1,2,1,16,,,,3.69,0,0,260
Ray Frederick,1954,1955,1,5,,0,4,1,22,,,,4.4,0,0,300
John Henderson,1954,1956,2,46,,15,15,15,113,,,,2.52,5,0,2688
Charlie Hodge,1954,1971,13,358,,150,125,61,925,,,,2.7,24,10,20573
Ed Chadwick,1955,1962,6,184,,57,92,35,541,,,,2.94,14,0,11040
Bob Perreault,1955,1963,3,31,,8,16,7,103,,,,3.38,3,0,1827
Claude Pronovost,1955,1959,2,3,,1,1,0,7,,,,3.5,1,2,120
Norm Defelice,1956,1957,1,10,,3,5,2,30,,,,3,0,2,600
Don Simmons,1956,1969,11,249,,101,101,41,701,,,,2.89,20,14,14555
John Aiken,1957,1958,1,1,,0,1,0,6,,,,10.59,0,0,34
Len Broderick,1957,1958,1,1,,1,0,0,2,,,,2,0,0,60
Al Millar,1957,1958,1,6,,1,4,1,25,,,,4.17,0,0,360
Marcel Paille,1957,1965,7,107,,32,52,22,362,,,,3.42,2,2,6342
Claude Cyr,1958,1959,1,1,,0,0,0,1,,,,3,0,0,20
Bruce Gamble,1958,1972,10,327,,110,150,46,988,,,,3.21,22,24,18442
Don Keenan,1958,1959,1,1,,0,1,0,4,,,,4,0,0,60
Julian Klymkiw,1958,1959,1,1,,0,0,0,2,,,,6.32,0,0,19
Gilles Boisvert,1959,1960,1,3,,0,3,0,9,,,,3,0,0,180
Jack McCartan,1959,1961,2,12,,2,7,3,42,,,,3.71,1,0,680
Dennis Riggin,1959,1963,2,18,,6,10,2,52,,,,3.12,1,0,999
Joe Schaefer,1959,1961,2,2,,0,2,0,8,,,,5.58,0,0,86
Cesare Maniago,1960,1978,15,568,,190,257,97,1773,,,,3.27,30,71,32569
Gerry McNamara,1960,1970,2,7,,2,2,1,14,,,,2.6,0,2,323
Gerry Cheevers*,1961,1980,13,418,,230,102,74,1174,,,,2.89,26,214,24394
Dave Dryden,1961,1980,9,203,,66,76,31,555,,,,3.19,9,4,10424
Don Head,1961,1962,1,38,,9,26,3,158,,,,4.16,2,14,2280
Dan Olesevich,1961,1962,1,1,,0,0,1,2,,,,4.14,0,0,29
Denis DeJordy,1962,1974,11,316,,124,128,51,929,,,,3.13,15,2,17798
Eddie Johnston,1962,1978,16,592,,234,257,80,1852,,,,3.25,32,26,34216
Ernie Wakely,1962,1972,5,113,,41,42,17,290,,,,2.79,8,2,6244
Roger Crozier,1963,1977,14,518,,206,197,70,1446,,,,3.04,30,42,28567
Harrison Gray,1963,1964,1,1,,0,1,0,5,,,,7.5,0,0,40
Jean-Guy Morissette,1963,1964,1,1,,0,1,0,4,,,,6.67,0,0,36
Pat Rupp,1963,1964,1,1,,0,1,0,4,,,,4,0,0,60
Gilles Villemure,1963,1977,10,205,,100,64,29,542,,,,2.81,13,10,11581
Jack Norris,1964,1971,4,58,,20,25,4,202,,,,3.89,2,0,3119
Carl Wetzel,1964,1968,2,7,,1,4,1,22,,,,4.39,0,0,301
George Gardner,1965,1972,5,66,,16,30,6,207,,,,3.75,0,0,3313
Ed Giacomin*,1965,1978,13,609,,289,209,96,1672,,,,2.82,54,66,35633
Bernie Parent*,1965,1979,13,608,,271,198,121,1493,,,,2.55,54,112,35136
Bob Ring,1965,1966,1,1,,0,0,0,4,,,,7.27,0,0,33
Al Smith,1965,1981,10,233,,74,99,36,735,,,,3.46,10,145,12752
Gary Smith,1965,1980,14,532,,173,261,74,1675,,,,3.39,26,193,29619
Garry Bauman,1966,1969,3,35,,5,16,6,102,,,,3.56,0,2,1719
Rogie Vachon*,1966,1982,16,795,,355,291,127,2310,,,,2.99,51,47,46298
Les Binkley,1967,1972,5,196,,58,94,34,575,,,,3.12,11,2,11046
Don Caley,1967,1968,1,1,,0,0,0,3,,,,6,0,0,30
Jacques Caron,1967,1974,5,72,,24,29,11,211,,,,3.29,2,2,3846
Roy Edwards,1967,1974,7,236,,97,88,38,637,,,,2.92,12,6,13109
Doug Favell,1967,1979,12,373,,123,153,69,1096,,,,3.17,18,152,20771
Andre Gill,1967,1968,1,5,,3,2,0,13,,,,2.89,1,0,270
Seth Martin,1967,1968,1,30,,8,10,7,67,,,,2.59,1,0,1552
Wayne Rutledge,1967,1970,3,82,,28,37,9,241,,,,3.34,2,11,4325
Joe Daley,1968,1972,4,105,,34,44,19,326,,,,3.35,3,16,5836
Gerry Desjardins,1968,1978,10,331,,122,153,44,1042,,,,3.29,12,39,19014
Gary Edwards,1968,1982,13,286,,88,125,51,973,,,,3.65,10,48,16002
Marv Edwards,1968,1974,4,61,,15,34,7,218,,,,3.77,2,34,3467
Robbie Irons,1968,1969,1,1,,0,0,0,0,,,,0,0,0,3
Joe Junkin,1968,1969,1,1,,0,0,0,0,,,,0,0,0,8
Ted Ouimet,1968,1969,1,1,,0,1,0,2,,,,2,0,0,60
Fern Rivard,1968,1975,4,55,,9,27,11,190,,,,3.98,2,10,2865
Chris Worthy,1968,1971,3,26,,5,10,4,98,,,,4.43,0,6,1326
Ken Broderick,1969,1975,3,27,,11,12,1,74,,,,3.03,1,2,1464
Gilles Gilbert,1969,1983,14,416,,192,143,60,1290,,,,3.27,18,110,23677
Phil Myre,1969,1983,14,439,,149,198,76,1482,,,,3.53,14,101,25220
Dunc Wilson,1969,1979,10,287,,80,150,33,988,,,,3.74,8,83,15851
Ken Brown,1970,1971,1,1,,0,0,0,1,,,,3.33,0,0,18
Ken Dryden*,1970,1979,8,397,,258,57,74,870,,,,2.24,46,12,23352
Gerry Gray,1970,1973,2,8,,1,5,1,35,,,,4.77,0,0,440
Paul Hoganson,1970,1971,1,2,,0,1,0,7,,,,7.37,0,0,57
Murray McLachlan,1970,1971,1,2,,0,1,0,4,,,,9.6,0,0,25
Don McLeod,1970,1972,2,18,,3,10,1,74,,,,5.05,0,0,879
Cam Newton,1970,1973,2,16,,4,7,1,51,,,,3.76,0,6,814
Michel Plasse,1970,1982,11,299,,92,136,54,1058,,,,3.79,2,62,16760
Jim Rutherford,1970,1983,13,457,,151,227,59,1576,,,,3.65,14,62,25895
Bob Sneddon,1970,1971,1,5,,0,2,0,21,,,,5.6,0,0,225
Andy Brown,1971,1974,3,62,,22,26,9,213,,,,3.79,1,64,3373
Lyle Carter,1971,1972,1,15,,4,7,0,50,,,,4.16,0,2,721
Ed Dyck,1971,1974,3,49,,8,28,5,178,,,,4.35,1,0,2453
Gary Kurt,1971,1972,1,16,,1,7,5,60,,,,4.3,0,0,838
Peter McDuffe,1971,1976,5,57,,11,36,6,218,,,,4.08,0,2,3207
Jim McLeod,1971,1972,1,16,,6,6,4,44,,,,3,0,0,880
Wayne Stephenson,1971,1981,10,328,,146,103,49,937,,,,3.06,14,43,18343
Bobby Taylor,1971,1976,5,46,,15,17,6,155,,,,4.1,0,16,2268
John Adams,1972,1975,2,22,,9,10,1,85,,,,4.32,1,2,1180
Michel Belhumeur,1972,1976,3,65,,9,36,7,254,,,,4.61,0,12,3306
Ross Brooks,1972,1975,3,54,,37,7,6,134,,,,2.64,4,2,3047
Bruce Bullock,1972,1977,3,16,,3,9,3,74,,,,4.79,0,2,927
Rocky Farr,1972,1975,3,19,,2,6,3,42,,,,3.49,0,2,722
Bob Johnson,1972,1975,2,24,,9,9,1,66,,,,3.74,0,23,1059
Dave McLelland,1972,1973,1,2,,1,1,0,10,,,,5,0,0,120
Gord McRae,1972,1978,5,71,,30,22,10,221,,,,3.49,1,6,3799
Wayne Thomas,1972,1981,8,243,,103,93,34,766,,,,3.34,10,41,13768
Gary Bromley,1973,1981,6,136,,54,44,28,425,,,,3.43,7,12,7427
Bob Champoux,1973,1974,1,17,,2,11,3,80,,,,5.2,0,0,923
John Davidson,1973,1983,10,301,,123,124,39,1004,,,,3.52,7,60,17109
Doug Grant,1973,1980,7,77,,27,34,8,280,,,,4,2,2,4199
Gary Inness,1973,1981,7,162,,58,61,27,494,,,,3.4,2,12,8710
Bill McKenzie,1973,1980,6,91,,18,49,13,326,,,,4.1,2,12,4776
Terry Richardson,1973,1979,5,20,,3,11,0,85,,,,5.63,0,6,906
Ted Tucker,1973,1974,1,5,,1,1,1,10,,,,3.39,0,0,177
Jim Watt,1973,1974,1,1,,0,0,0,2,,,,6,0,0,20
Yves Belanger,1974,1980,6,78,,29,33,6,259,,,,3.76,2,4,4134
Michel Dumas,1974,1977,2,8,,2,1,2,24,,,,3.98,0,0,362
Pierre Hamel,1974,1981,4,69,,13,41,7,276,,,,4.4,0,16,3766
Ken Lockett,1974,1976,2,55,,13,15,8,131,,,,3.35,2,8,2348
Pete LoPresti,1974,1981,6,175,,43,102,20,668,,,,4.07,5,6,9858
Curt Ridley,1974,1981,6,104,,27,47,16,355,,,,3.87,1,17,5498
Gary Simmons,1974,1978,4,107,,30,57,15,366,,,,3.56,5,50,6162
Gilles Gratton,1975,1977,2,47,,13,18,9,154,,,,4.02,0,15,2299
Paul Harrison,1975,1982,6,109,,28,59,9,408,,,,4.22,2,28,5806
Gord Laxton,1975,1979,4,17,,4,9,0,74,,,,5.55,0,0,800
Jerome Mrazek,1975,1976,1,1,,0,0,0,1,,,,10,0,0,6
Bill Oleschuk,1975,1980,4,55,,7,28,10,188,,,,3.98,1,14,2835
Dave Reece,1975,1976,1,14,,7,5,2,43,,,,3.32,2,0,777
Bernie Wolfe,1975,1979,4,120,,20,61,21,424,,,,4.17,1,17,6104
Jim Pettie,1976,1979,3,21,,9,7,2,71,,,,3.68,1,23,1157
Dave Tataryn,1976,1977,1,2,,1,1,0,10,,,,7.5,0,0,80
Hardy Astrom,1977,1981,3,83,,17,44,12,278,,,,3.74,0,8,4456
Jim Bedard,1977,1979,2,73,,17,40,13,278,,,,3.94,1,10,4232
Ron Grahame,1977,1981,4,114,,50,43,15,409,,,,3.79,5,10,6472
Goran Hogosta,1977,1980,2,22,,5,12,3,83,,,,4.12,1,0,1208
Greg Redquest,1977,1978,1,1,,0,0,0,3,,,,13.85,0,0,13
Rollie Boutin,1978,1981,3,22,,7,10,1,75,,,,3.96,0,6,1137
Randy Ireland,1978,1979,1,2,,0,0,0,3,,,,6,0,0,30
Robbie Moore,1978,1983,2,6,,3,1,1,8,,,,1.87,2,0,257
Steve Baker,1979,1983,4,57,,20,20,11,190,,,,3.7,3,7,3081
Jim Corsi,1979,1980,1,26,,8,14,3,83,,,,3.65,0,6,1366
Jiri Crha,1979,1981,2,69,,28,27,11,261,,,,3.97,0,12,3942
Don Cutts,1979,1980,1,6,,1,2,1,16,,,,3.57,0,6,269
Bob Dupuis,1979,1980,1,1,,0,1,0,4,,,,4,0,0,60
Rob Holland,1979,1981,2,44,,11,22,9,171,,,,4.08,1,2,2513
Steve Janaszak,1979,1982,2,3,,0,1,1,15,,,,5.63,0,0,160
Jean-Louis Levasseur,1979,1980,1,1,,0,1,0,7,,,,7,0,0,60
Lindsay Middlebrook,1979,1983,4,37,,3,23,6,152,,,,4.94,0,2,1845
Nick Ricci,1979,1983,4,19,,7,12,0,79,,,,4.36,0,2,1087
Jim Stewart,1979,1980,1,1,,0,1,0,5,,,,15,0,0,20
Dave Parro,1980,1984,4,77,,21,36,10,274,0,0,,4.09,2,6,4015
Jari Kaarela,1980,1981,1,5,,2,2,0,22,,,,6,0,2,220
Claude Legris,1980,1982,2,4,,0,1,1,4,,,,2.64,0,0,91
Ron Loustel,1980,1981,1,1,,0,1,0,10,,,,10,0,0,60
Larry Lozinski,1980,1981,1,30,,6,11,7,105,,,,4.32,0,0,1459
Paul Pageau,1980,1981,1,1,,0,1,0,8,,,,8,0,0,60
Rick LaFerriere,1981,1982,1,1,,0,0,0,1,,,,3,0,0,20
Bob Parent,1981,1983,2,3,,0,2,0,15,,,,5.63,0,0,160
Paul Skidmore,1981,1982,1,2,,1,1,0,6,,,,3,0,0,120
Ken Ellacott,1982,1983,1,12,,2,3,4,41,,,,4.43,0,0,555
Shawn MacKenzie,1982,1983,1,4,,0,1,0,15,,,,6.92,0,0,130
Christian Soucy,1993,1994,1,1,,0,0,0,0,0,0,,0,0,0,3
Rob McVicar,2005,2006,1,1,,0,0,0,0,0,0,,0,0,0,3
Jordan Sigalet,2005,2006,1,1,,0,0,0,0,0,0,,0,0,0,1
Shawn Hunwick,2011,2012,1,1,0,0,0,0,0,0,0,,0,0,0,3
Jorge Alves,2016,2017,1,1,0,0,0,0,0,0,0,,,0,0,0
